Point ID,Lat Offset,Lon Offset,GC Code,Latitude,Longitude,Lat,Lon,Posted,,Final Latitude Offset,Final Longitude Offset,Final Latitude,Final Longitude,F-Lat,F-Lon,Final
17,0.000666,0.009276,https://coord.info/GC7MRNT,41.990833,-92.537235,N 41 59.449950,W 92 32.234100,N 41 59.449950 W 92 32.234100,,0.000,0.019,41.9908,-92.5567,N 41 59.4500,W 92 33.3991,N 41 59.4500 W 92 33.3991
18,0.001846,0.008308,https://coord.info/GC7MRP0,41.992308,-92.538445,N 41 59.538450,W 92 32.306700,N 41 59.538450 W 92 32.306700,,0.000,0.019,41.9923,-92.5579,N 41 59.5385,W 92 33.4717,N 41 59.5385 W 92 33.4717
19,0.002345,0.006129,https://coord.info/GC7MRP7,41.992931,-92.541169,N 41 59.575875,W 92 32.470125,N 41 59.575875 W 92 32.470125,,0.000,0.019,41.9929,-92.5606,N 41 59.5759,W 92 33.6351,N 41 59.5759 W 92 33.6351
20,0.001630,0.003674,https://coord.info/GC7MRPH,41.992038,-92.544238,N 41 59.522250,W 92 32.654250,N 41 59.522250 W 92 32.654250,,0.000,0.019,41.9920,-92.5637,N 41 59.5223,W 92 33.8193,N 41 59.5223 W 92 33.8193
Stem Below This Row,,,,,,,,,,,,,,,,
S2,0.003000,0.000032,https://coord.info/GC7MRPT,41.986250,-92.548870,N 41 59.175000,W 92 32.932200,N 41 59.175000 W 92 32.932200,,0.000,0.019,41.9863,-92.5683,N 41 59.1750,W 92 34.0972,N 41 59.1750 W 92 34.0972
S3,0.005000,0.000100,https://coord.info/GC7MRPY,41.983750,-92.548955,N 41 59.025000,W 92 32.937300,N 41 59.025000 W 92 32.937300,,0.000,0.019,41.9838,-92.5684,N 41 59.0250,W 92 34.1023,N 41 59.0250 W 92 34.1023
S4,0.007000,0.000500,https://coord.info/GC7MRQ0,41.981250,-92.549455,N 41 58.875000,W 92 32.967300,N 41 58.875000 W 92 32.967300,,0.000,0.019,41.9813,-92.5689,N 41 58.8750,W 92 34.1323,N 41 58.8750 W 92 34.1323
S5,0.009000,0.000900,https://coord.info/GC7MRQ3,41.978750,-92.549955,N 41 58.725000,W 92 32.997300,N 41 58.725000 W 92 32.997300,,0.000,0.019,41.9788,-92.5694,N 41 58.7250,W 92 34.1623,N 41 58.7250 W 92 34.1623
Reflected Below This Row,,,,,,,,,,,,,,,,
2R,,,https://coord.info/GC7MRF0,41.998318,-92.550818,N 41 59.899050,W 92 33.049050,N 41 59.899050 W 92 33.049050,,0.000,0.019,41.9983,-92.5702,N 41 59.8990,W 92 34.2141,N 41 59.8990 W 92 34.2141
3R,,,https://coord.info/GC7MRFA,41.996985,-92.548830,N 41 59.819100,W 92 32.929800,N 41 59.819100 W 92 32.929800,,0.000,0.019,41.9970,-92.5682,N 41 59.8191,W 92 34.0948,N 41 59.8191 W 92 34.0948
4R,,,https://coord.info/GC7MRFH,41.998350,-92.546869,N 41 59.900974,W 92 32.812155,N 41 59.900974 W 92 32.812155,,0.000,0.019,41.9983,-92.5663,N 41 59.9010,W 92 33.9772,N 41 59.9010 W 92 33.9772
5R,,,https://coord.info/GC7MRG4,41.998330,-92.544677,N 41 59.899798,W 92 32.680611,N 41 59.899798 W 92 32.680611,,0.000,0.019,41.9983,-92.5641,N 41 59.8998,W 92 33.8456,N 41 59.8998 W 92 33.8456
6R,,,https://coord.info/GC7MRGT,41.997193,-92.542874,N 41 59.831557,W 92 32.572437,N 41 59.831557 W 92 32.572437,,0.000,0.019,41.9972,-92.5623,N 41 59.8316,W 92 33.7374,N 41 59.8316 W 92 33.7374
7R,,,https://coord.info/GC7MRH3,41.995404,-92.542391,N 41 59.724267,W 92 32.543462,N 41 59.724267 W 92 32.543462,,0.000,0.019,41.9954,-92.5618,N 41 59.7243,W 92 33.7085,N 41 59.7243 W 92 33.7085
8R,,,https://coord.info/GC7MRHF,41.993556,-92.543857,N 41 59.613375,W 92 32.631396,N 41 59.613375 W 92 32.631396,,0.000,0.019,41.9936,-92.5633,N 41 59.6134,W 92 33.7964,N 41 59.6134 W 92 33.7964
9R,,,https://coord.info/GC7MRJ8,41.992056,-92.545884,N 41 59.523374,W 92 32.753013,N 41 59.523374 W 92 32.753013,,0.000,0.019,41.9921,-92.5653,N 41 59.5234,W 92 33.9180,N 41 59.5234 W 92 33.9180
10R,,,https://coord.info/GC7MRJQ,41.991080,-92.547283,N 41 59.464821,W 92 32.836963,N 41 59.464821 W 92 32.836963,,0.000,0.019,41.9911,-92.5667,N 41 59.4648,W 92 34.0020,N 41 59.4648 W 92 34.0020
11R,,,https://coord.info/GC7MRMA,41.988337,-92.547822,N 41 59.300249,W 92 32.869344,N 41 59.300249 W 92 32.869344,,0.000,0.019,41.9883,-92.5672,N 41 59.3002,W 92 34.0343,N 41 59.3002 W 92 34.0343
12R,,,https://coord.info/GC7MRMJ,41.986485,-92.546761,N 41 59.189127,W 92 32.805656,N 41 59.189127 W 92 32.805656,,0.000,0.019,41.9865,-92.5662,N 41 59.1891,W 92 33.9707,N 41 59.1891 W 92 33.9707
13R,,,https://coord.info/GC7MRMV,41.984600,-92.545348,N 41 59.076012,W 92 32.720859,N 41 59.076012 W 92 32.720859,,0.000,0.019,41.9846,-92.5648,N 41 59.0760,W 92 33.8859,N 41 59.0760 W 92 33.8859
14R,,,https://coord.info/GC7MRN1,41.983708,-92.542605,N 41 59.022496,W 92 32.556312,N 41 59.022496 W 92 32.556312,,0.000,0.019,41.9837,-92.5620,N 41 59.0225,W 92 33.7213,N 41 59.0225 W 92 33.7213
15R,,,https://coord.info/GC7MRN6,41.984372,-92.539985,N 41 59.062340,W 92 32.399113,N 41 59.062340 W 92 32.399113,,0.000,0.019,41.9844,-92.5594,N 41 59.0623,W 92 33.5641,N 41 59.0623 W 92 33.5641
16R,,,https://coord.info/GC7MRNE,41.986173,-92.539106,N 41 59.170362,W 92 32.346366,N 41 59.170362 W 92 32.346366,,0.000,0.019,41.9862,-92.5585,N 41 59.1704,W 92 33.5114,N 41 59.1704 W 92 33.5114
17R,,,https://coord.info/GC7MRNX,41.987870,-92.540182,N 41 59.272228,W 92 32.410894,N 41 59.272228 W 92 32.410894,,0.000,0.019,41.9879,-92.5596,N 41 59.2722,W 92 33.5759,N 41 59.2722 W 92 33.5759
18R,,,https://coord.info/GC7MRP3,41.988903,-92.537685,N 41 59.334186,W 92 32.261077,N 41 59.334186 W 92 32.261077,,0.000,0.019,41.9889,-92.5571,N 41 59.3342,W 92 33.4261,N 41 59.3342 W 92 33.4261
19R,,,https://coord.info/GC7MRPC,41.990830,-92.537230,N 41 59.449827,W 92 32.233778,N 41 59.449827 W 92 32.233778,,0.000,0.019,41.9908,-92.5566,N 41 59.4498,W 92 33.3988,N 41 59.4498 W 92 33.3988
20R,,,https://coord.info/GC7MRPP,41.992309,-92.538447,N 41 59.538515,W 92 32.306847,N 41 59.538515 W 92 32.306847,,0.000,0.019,41.9923,-92.5579,N 41 59.5385,W 92 33.4718,N 41 59.5385 W 92 33.4718
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
